frame number,image_height,image_width,publisher_sent,subscriber_received,frequency,latency,packets_receieved_count,transport
45,10,10,1705262089627614126,1705262089628089822,5,475696,89,2
45,10,10,1705262089627614126,1705262089628263833,5,649707,90,2
46,10,10,1705262089827839858,1705262089828242217,5,402359,91,2
46,10,10,1705262089827839858,1705262089828402560,5,562702,92,2
47,10,10,1705262090028062257,1705262090028376944,5,314687,93,2
47,10,10,1705262090028062257,1705262090028529953,5,467696,94,2
48,10,10,1705262090228251988,1705262090228585008,5,333020,95,2
48,10,10,1705262090228251988,1705262090228744685,5,492697,96,2
49,10,10,1705262090428449385,1705262090428801074,5,351689,97,2
49,10,10,1705262090428449385,1705262090429005753,5,556368,98,2
50,10,10,1705262090628639449,1705262090629115812,5,476363,99,2
50,10,10,1705262090628639449,1705262090629367161,5,727712,100,2
51,10,10,1705262090828938853,1705262090829346545,5,407692,101,2
51,10,10,1705262090828938853,1705262090829527889,5,589036,102,2
52,10,10,1705262091029180920,1705262091029578278,5,397358,103,2
52,10,10,1705262091029180920,1705262091029758289,5,577369,104,2
53,10,10,1705262091229416653,1705262091229800343,5,383690,105,2
53,10,10,1705262091229416653,1705262091230030691,5,614038,106,2
54,10,10,1705262091429648719,1705262091430004741,5,356022,107,2
54,10,10,1705262091429648719,1705262091430159418,5,510699,108,2
55,10,10,1705262091629836450,1705262091630352482,5,516032,109,2
55,10,10,1705262091629836450,1705262091630549827,5,713377,110,2
56,10,10,1705262091830159188,1705262091830503543,5,344355,111,2
56,10,10,1705262091830159188,1705262091830678220,5,519032,112,2
57,10,10,1705262092030361253,1705262092030682273,5,321020,113,2
57,10,10,1705262092030361253,1705262092030835282,5,474029,114,2
58,10,10,1705262092230551650,1705262092230840001,5,288351,115,2
58,10,10,1705262092230551650,1705262092231037347,5,485697,116,2
59,10,10,1705262092430719046,1705262092431070401,5,351355,117,2
59,10,10,1705262092430719046,1705262092431228077,5,509031,118,2
60,10,10,1705262092630942112,1705262092631324135,5,382023,119,2
60,10,10,1705262092630942112,1705262092631497480,5,555368,120,2
61,10,10,1705262092831169511,1705262092831495198,5,325687,121,2
61,10,10,1705262092831169511,1705262092831651208,5,481697,122,2
62,10,10,1705262093031365909,1705262093031680928,5,315019,123,2
62,10,10,1705262093031365909,1705262093031836271,5,470362,124,2
63,10,10,1705262093231553306,1705262093231881326,5,328020,125,2
63,10,10,1705262093231553306,1705262093232079672,5,526366,126,2
64,10,10,1705262093431744037,1705262093432120393,5,376356,127,2
64,10,10,1705262093431744037,1705262093432275403,5,531366,128,2
65,10,10,1705262093631958102,1705262093632496136,5,538034,129,2
65,10,10,1705262093631958102,1705262093632758485,5,800383,130,2
66,10,10,1705262093832269174,1705262093832630530,5,361356,131,2
66,10,10,1705262093832269174,1705262093832796873,5,527699,132,2
67,10,10,1705262094032485573,1705262094032821260,5,335687,133,2
