frame number,publisher_sent,subscriber_received,latency
80003,1706471908727,1706471908728,1
80004,1706471908739,1706471908740,1
80005,1706471908751,1706471908751,0
80006,1706471908762,1706471908762,0
80007,1706471908773,1706471908774,1
80008,1706471908785,1706471908785,0
80009,1706471908796,1706471908797,1
80010,1706471908808,1706471908809,1
80011,1706471908820,1706471908820,0
80012,1706471908831,1706471908832,1
80013,1706471908843,1706471908843,0
80014,1706471908854,1706471908855,1
80015,1706471908866,1706471908867,1
80016,1706471908878,1706471908878,0
80017,1706471908889,1706471908890,1
80018,1706471908901,1706471908901,0
80019,1706471908913,1706471908913,0
80020,1706471908924,1706471908925,1
80021,1706471908936,1706471908936,0
80022,1706471908947,1706471908948,1
80023,1706471908959,1706471908960,1
80024,1706471908971,1706471908971,0
80025,1706471908982,1706471908983,1
80026,1706471908994,1706471908994,0
80027,1706471909006,1706471909006,0
80028,1706471909017,1706471909018,1
80029,1706471909029,1706471909029,0
80030,1706471909040,1706471909041,1
80031,1706471909052,1706471909053,1
80032,1706471909064,1706471909064,0
80033,1706471909075,1706471909076,1
80034,1706471909087,1706471909087,0
80035,1706471909098,1706471909099,1
80036,1706471909110,1706471909111,1
80037,1706471909122,1706471909122,0
80038,1706471909133,1706471909134,1
80039,1706471909145,1706471909146,1
80040,1706471909157,1706471909157,0
80041,1706471909168,1706471909169,1
80042,1706471909180,1706471909180,0
80043,1706471909191,1706471909192,1
80044,1706471909203,1706471909204,1
80045,1706471909215,1706471909215,0
80046,1706471909226,1706471909227,1
80047,1706471909238,1706471909238,0
80048,1706471909250,1706471909250,0
80049,1706471909261,1706471909262,1
80050,1706471909273,1706471909273,0
80051,1706471909284,1706471909285,1
80052,1706471909296,1706471909296,0
80053,1706471909308,1706471909308,0
80054,1706471909319,1706471909320,1
80055,1706471909331,1706471909331,0
80056,1706471909342,1706471909343,1
80057,1706471909354,1706471909354,0
80058,1706471909365,1706471909366,1
80059,1706471909377,1706471909378,1
80060,1706471909389,1706471909389,0
80061,1706471909400,1706471909401,1
80062,1706471909412,1706471909412,0
80063,1706471909423,1706471909424,1
80064,1706471909435,1706471909436,1
80065,1706471909447,1706471909447,0
80066,1706471909458,1706471909459,1
80067,1706471909470,1706471909470,0
80068,1706471909481,1706471909482,1
80069,1706471909493,1706471909494,1
80070,1706471909505,1706471909505,0
80071,1706471909516,1706471909517,1
80072,1706471909528,1706471909529,1
80073,1706471909540,1706471909540,0
80074,1706471909551,1706471909552,1
80075,1706471909563,1706471909563,0
80076,1706471909574,1706471909575,1
80077,1706471909586,1706471909587,1
80078,1706471909598,1706471909598,0
80079,1706471909609,1706471909610,1
80080,1706471909621,1706471909622,1
80081,1706471909633,1706471909633,0
80082,1706471909644,1706471909645,1
80083,1706471909656,1706471909656,0
80084,1706471909667,1706471909668,1
80085,1706471909679,1706471909680,1
80086,1706471909691,1706471909691,0
80087,1706471909702,1706471909703,1
80088,1706471909714,1706471909714,0
80089,1706471909726,1706471909726,0
80090,1706471909737,1706471909738,1
80091,1706471909749,1706471909749,0
80092,1706471909760,1706471909761,1
