frame number,publisher_sent,subscriber_received,latency
15002,1706578611645,1706578611646,1
15003,1706578611652,1706578611654,2
15004,1706578611660,1706578611661,1
15005,1706578611667,1706578611669,2
15006,1706578611675,1706578611676,1
15007,1706578611682,1706578611683,1
15008,1706578611689,1706578611691,2
15009,1706578611696,1706578611697,1
15010,1706578611703,1706578611704,1
15011,1706578611710,1706578611711,1
15012,1706578611717,1706578611718,1
15013,1706578611724,1706578611725,1
15014,1706578611731,1706578611732,1
15015,1706578611738,1706578611739,1
15016,1706578611745,1706578611745,0
15017,1706578611752,1706578611752,0
15018,1706578611759,1706578611759,0
15019,1706578611765,1706578611766,1
15020,1706578611772,1706578611773,1
15021,1706578611779,1706578611780,1
15022,1706578611786,1706578611787,1
15023,1706578611793,1706578611794,1
15024,1706578611800,1706578611801,1
15025,1706578611807,1706578611808,1
15026,1706578611814,1706578611816,2
15027,1706578611822,1706578611823,1
15028,1706578611829,1706578611831,2
15029,1706578611838,1706578611840,2
15030,1706578611845,1706578611847,2
15031,1706578611853,1706578611855,2
15032,1706578611861,1706578611863,2
15033,1706578611869,1706578611870,1
15034,1706578611876,1706578611878,2
15035,1706578611884,1706578611886,2
15036,1706578611892,1706578611894,2
15037,1706578611899,1706578611901,2
15038,1706578611907,1706578611909,2
15039,1706578611915,1706578611916,1
15040,1706578611922,1706578611923,1
15041,1706578611929,1706578611930,1
15042,1706578611936,1706578611937,1
15043,1706578611943,1706578611944,1
15044,1706578611950,1706578611950,0
15045,1706578611957,1706578611957,0
15046,1706578611964,1706578611964,0
15047,1706578611970,1706578611971,1
15048,1706578611977,1706578611978,1
15049,1706578611984,1706578611985,1
15050,1706578611991,1706578611992,1
15051,1706578611998,1706578611999,1
15052,1706578612005,1706578612006,1
15053,1706578612012,1706578612012,0
15054,1706578612019,1706578612019,0
15055,1706578612026,1706578612027,1
15056,1706578612033,1706578612034,1
15057,1706578612040,1706578612042,2
15058,1706578612048,1706578612049,1
15059,1706578612055,1706578612057,2
15060,1706578612062,1706578612064,2
15061,1706578612070,1706578612071,1
15062,1706578612077,1706578612079,2
15063,1706578612085,1706578612086,1
15064,1706578612092,1706578612093,1
15065,1706578612099,1706578612101,2
15066,1706578612107,1706578612108,1
15067,1706578612114,1706578612115,1
15068,1706578612121,1706578612123,2
15069,1706578612129,1706578612130,1
15070,1706578612136,1706578612138,2
15071,1706578612143,1706578612145,2
15072,1706578612151,1706578612152,1
15073,1706578612158,1706578612160,2
15074,1706578612165,1706578612167,2
15075,1706578612173,1706578612174,1
15076,1706578612180,1706578612182,2
15077,1706578612187,1706578612189,2
15078,1706578612195,1706578612196,1
15079,1706578612202,1706578612204,2
15080,1706578612210,1706578612211,1
15081,1706578612217,1706578612218,1
15082,1706578612224,1706578612226,2
15083,1706578612232,1706578612233,1
15084,1706578612239,1706578612241,2
15085,1706578612247,1706578612248,1
15086,1706578612254,1706578612255,1
15087,1706578612261,1706578612263,2
15088,1706578612269,1706578612270,1
15089,1706578612276,1706578612278,2
15090,1706578612283,1706578612285,2
15091,1706578612291,1706578612292,1
15092,1706578612298,1706578612300,2
15093,1706578612306,1706578612307,1
15094,1706578612313,1706578612314,1
15095,1706578612320,1706578612322,2
15096,1706578612328,1706578612329,1
15097,1706578612335,1706578612336,1
15098,1706578612342,1706578612344,2
15099,1706578612350,1706578612351,1
15100,1706578612357,1706578612359,2
15101,1706578612365,1706578612366,1
15102,1706578612372,1706578612373,1
15103,1706578612379,1706578612381,2
15104,1706578612387,1706578612388,1
15105,1706578612394,1706578612395,1
15106,1706578612401,1706578612403,2
15107,1706578612409,1706578612410,1
15108,1706578612416,1706578612418,2
15109,1706578612423,1706578612425,2
15110,1706578612431,1706578612432,1
15111,1706578612438,1706578612439,1
15112,1706578612445,1706578612447,2
15113,1706578612453,1706578612454,1
15114,1706578612460,1706578612461,1
15115,1706578612468,1706578612469,1
15116,1706578612475,1706578612476,1
15117,1706578612482,1706578612484,2
15118,1706578612490,1706578612491,1
15119,1706578612497,1706578612498,1
15120,1706578612504,1706578612506,2
15121,1706578612512,1706578612513,1
15122,1706578612519,1706578612521,2
15123,1706578612527,1706578612528,1
15124,1706578612534,1706578612536,2
15125,1706578612542,1706578612543,1
15126,1706578612549,1706578612550,1
15127,1706578612556,1706578612558,2
15128,1706578612564,1706578612565,1
15129,1706578612571,1706578612572,1
15130,1706578612578,1706578612580,2
15131,1706578612586,1706578612587,1
15132,1706578612593,1706578612595,2
15133,1706578612601,1706578612602,1
15134,1706578612608,1706578612609,1
15135,1706578612615,1706578612617,2
15136,1706578612623,1706578612624,1
15137,1706578612630,1706578612631,1
15138,1706578612637,1706578612639,2
15139,1706578612645,1706578612646,1
15140,1706578612652,1706578612653,1
15141,1706578612659,1706578612661,2
