frame number,publisher_sent,subscriber_received,latency
2002,1708055371280590,1708055371282749,2159
2003,1708055371349958,1708055371350960,1002
2004,1708055371418164,1708055371419158,994
2005,1708055371486346,1708055371487319,973
2006,1708055371554634,1708055371555600,966
2007,1708055371622765,1708055371623501,736
2008,1708055371690953,1708055371692392,1439
2009,1708055371759849,1708055371761249,1400
2010,1708055371828777,1708055371830191,1414
2011,1708055371897677,1708055371898997,1320
2012,1708055371966381,1708055371967838,1457
2013,1708055372035177,1708055372036567,1390
2014,1708055372103908,1708055372105735,1827
2015,1708055372173148,1708055372174703,1555
2016,1708055372242078,1708055372243474,1396
2017,1708055372310916,1708055372312273,1357
2018,1708055372379677,1708055372381040,1363
2019,1708055372448373,1708055372449802,1429
2020,1708055372517146,1708055372518495,1349
2021,1708055372585887,1708055372587239,1352
2022,1708055372654831,1708055372656602,1771
2023,1708055372724145,1708055372726053,1908
2024,1708055372793587,1708055372794497,910
2025,1708055372861780,1708055372862784,1004
2026,1708055372929990,1708055372930996,1006
2027,1708055372998207,1708055372999192,985
2028,1708055373066437,1708055373067417,980
2029,1708055373134687,1708055373135690,1003
2030,1708055373202901,1708055373203877,976
2031,1708055373271103,1708055373272076,973
2032,1708055373339287,1708055373340255,968
2033,1708055373407493,1708055373408463,970
2034,1708055373475713,1708055373476723,1010
2035,1708055373543923,1708055373544880,957
2036,1708055373612087,1708055373613073,986
2037,1708055373680276,1708055373681257,981
2038,1708055373748502,1708055373749570,1068
2039,1708055373816775,1708055373817796,1021
2040,1708055373885001,1708055373885991,990
2041,1708055373953202,1708055373954174,972
2042,1708055374021365,1708055374022351,986
2043,1708055374089652,1708055374090606,954
2044,1708055374157799,1708055374158800,1001
2045,1708055374226012,1708055374227022,1010
2046,1708055374294231,1708055374295210,979
2047,1708055374362444,1708055374363416,972
2048,1708055374430667,1708055374431681,1014
2049,1708055374498879,1708055374499882,1003
2050,1708055374567179,1708055374568178,999
2051,1708055374635387,1708055374636364,977
2052,1708055374703658,1708055374704644,986
2053,1708055374771865,1708055374772906,1041
2054,1708055374840368,1708055374841326,958
2055,1708055374908598,1708055374909361,763
2056,1708055374976817,1708055374978149,1332
2057,1708055375045584,1708055375046912,1328
2058,1708055375114311,1708055375115749,1438
2059,1708055375183099,1708055375184473,1374
2060,1708055375251879,1708055375253235,1356
2061,1708055375320733,1708055375322149,1416
2062,1708055375389687,1708055375391008,1321
2063,1708055375458357,1708055375459819,1462
2064,1708055375527173,1708055375528623,1450
2065,1708055375595986,1708055375597363,1377
2066,1708055375664776,1708055375666244,1468
2067,1708055375733724,1708055375735039,1315
2068,1708055375803146,1708055375805083,1937
2069,1708055375872754,1708055375874447,1693
2070,1708055375941971,1708055375942962,991
2071,1708055376010161,1708055376011153,992
2072,1708055376078365,1708055376079351,986
2073,1708055376146698,1708055376147668,970
2074,1708055376214874,1708055376215873,999
2075,1708055376283085,1708055376284074,989
2076,1708055376351267,1708055376352244,977
2077,1708055376419482,1708055376420487,1005
2078,1708055376487745,1708055376488757,1012
2079,1708055376555971,1708055376556960,989
2080,1708055376624172,1708055376625151,979
2081,1708055376692359,1708055376693349,990
2082,1708055376760656,1708055376761625,969
2083,1708055376828829,1708055376829829,1000
2084,1708055376897043,1708055376898027,984
2085,1708055376965233,1708055376966223,990
2086,1708055377033453,1708055377034412,959
2087,1708055377101673,1708055377102668,995
2088,1708055377169875,1708055377170853,978
2089,1708055377238064,1708055377239050,986
2090,1708055377306257,1708055377307233,976
2091,1708055377374462,1708055377385363,10901
2092,1708055377452594,1708055377453372,778
2093,1708055377520668,1708055377521770,1102
2094,1708055377589011,1708055377590017,1006
2095,1708055377657289,1708055377658289,1000
2096,1708055377725612,1708055377726600,988
2097,1708055377793810,1708055377794802,992
2098,1708055377862007,1708055377863016,1009
2099,1708055377930229,1708055377931197,968
2100,1708055377998444,1708055377999446,1002
2101,1708055378066693,1708055378067658,965
2102,1708055378134822,1708055378135703,881
2103,1708055378202895,1708055378204305,1410
2104,1708055378271738,1708055378273121,1383
2105,1708055378340616,1708055378341955,1339
2106,1708055378409300,1708055378410719,1419
2107,1708055378478054,1708055378479420,1366
2108,1708055378546873,1708055378548232,1359
2109,1708055378615724,1708055378617036,1312
2110,1708055378684420,1708055378685839,1419
2111,1708055378753189,1708055378754611,1422
2112,1708055378821940,1708055378823292,1352
2113,1708055378890675,1708055378892031,1356
2114,1708055378959375,1708055378960817,1442
2115,1708055379028235,1708055379030101,1866
2116,1708055379097805,1708055379099608,1803
2117,1708055379167038,1708055379168054,1016
2118,1708055379235268,1708055379236251,983
2119,1708055379303478,1708055379304495,1017
2120,1708055379371788,1708055379372783,995
2121,1708055379439999,1708055379441010,1011
2122,1708055379508301,1708055379509291,990
2123,1708055379576605,1708055379577612,1007
2124,1708055379644812,1708055379645829,1017
2125,1708055379713031,1708055379714020,989
2126,1708055379781221,1708055379782200,979
2127,1708055379849450,1708055379850444,994
2128,1708055379917704,1708055379918720,1016
2129,1708055379985917,1708055379986947,1030
2130,1708055380054156,1708055380055163,1007
2131,1708055380122367,1708055380123355,988
2132,1708055380190660,1708055380191647,987
2133,1708055380258870,1708055380259868,998
2134,1708055380327053,1708055380327884,831
2135,1708055380395023,1708055380395847,824
2136,1708055380462994,1708055380463817,823
2137,1708055380530950,1708055380531790,840
2138,1708055380598934,1708055380599815,881
2139,1708055380666632,1708055380667596,964
2140,1708055380734798,1708055380735796,998
2141,1708055380803039,1708055380804016,977
2142,1708055380871231,1708055380872208,977
2143,1708055380939451,1708055380940421,970
2144,1708055381007678,1708055381008680,1002
2145,1708055381075871,1708055381076850,979
2146,1708055381144059,1708055381145074,1015
2147,1708055381212285,1708055381213259,974
2148,1708055381280471,1708055381281292,821
2149,1708055381348430,1708055381349108,678
2150,1708055381416267,1708055381417734,1467
2151,1708055381485103,1708055381486584,1481
2152,1708055381554046,1708055381555488,1442
2153,1708055381622958,1708055381624357,1399
2154,1708055381691786,1708055381693166,1380
2155,1708055381760659,1708055381761983,1324
2156,1708055381829353,1708055381830898,1545
2157,1708055381898299,1708055381899757,1458
2158,1708055381967108,1708055381968482,1374
2159,1708055382035895,1708055382037269,1374
2160,1708055382104701,1708055382106107,1406
2161,1708055382173601,1708055382174940,1339
2162,1708055382242289,1708055382243714,1425
2163,1708055382311839,1708055382313198,1359
2164,1708055382380714,1708055382381931,1217
2165,1708055382449176,1708055382450081,905
2166,1708055382517284,1708055382518405,1121
2167,1708055382585657,1708055382586628,971
2168,1708055382653869,1708055382654913,1044
2169,1708055382738443,1708055382739482,1039
2170,1708055382806000,1708055382806948,948
2171,1708055382873461,1708055382874406,945
2172,1708055382940945,1708055382941964,1019
2173,1708055383008353,1708055383009160,807
2174,1708055383075712,1708055383076482,770
2175,1708055383143014,1708055383143807,793
2176,1708055383210317,1708055383211099,782
2177,1708055383277669,1708055383278396,727
2178,1708055383344967,1708055383345759,792
2179,1708055383412257,1708055383422840,10583
2180,1708055383479648,1708055383480433,785
2181,1708055383547035,1708055383547857,822
2182,1708055383614576,1708055383615347,771
2183,1708055383681958,1708055383682821,863
2184,1708055383749343,1708055383750222,879
2185,1708055383816814,1708055383817689,875
2186,1708055383884197,1708055383885055,858
2187,1708055383951670,1708055383952477,807
2188,1708055384019048,1708055384019882,834
2189,1708055384086474,1708055384087359,885
2190,1708055384153946,1708055384154823,877
2191,1708055384221348,1708055384222230,882
2192,1708055384288815,1708055384289716,901
2193,1708055384356191,1708055384356959,768
2194,1708055384423610,1708055384424284,674
2195,1708055384490896,1708055384491589,693
2196,1708055384558214,1708055384559416,1202
2197,1708055384625938,1708055384627130,1192
2198,1708055384693716,1708055384694972,1256
2199,1708055384761441,1708055384762793,1352
2200,1708055384829189,1708055384830464,1275
2201,1708055384896973,1708055384898260,1287
2202,1708055384964732,1708055384965998,1266
2203,1708055385032347,1708055385033672,1325
2204,1708055385100081,1708055385101363,1282
2205,1708055385167814,1708055385169060,1246
2206,1708055385235506,1708055385236826,1320
2207,1708055385303246,1708055385304673,1427
2208,1708055385371118,1708055385372828,1710
2209,1708055385439160,1708055385440863,1703
2210,1708055385507099,1708055385508030,931
2211,1708055385574630,1708055385575483,853
2212,1708055385642052,1708055385643001,949
2213,1708055385709609,1708055385710455,846
2214,1708055385777002,1708055385777952,950
2215,1708055385844501,1708055385845423,922
2216,1708055385911974,1708055385912900,926
