frame number,publisher_sent,subscriber_received,latency
10002,1708055670773031,1708055670774884,1853
10003,1708055670792964,1708055670793829,865
10004,1708055670811857,1708055670812722,865
10005,1708055670830746,1708055670831610,864
10006,1708055670849677,1708055670850466,789
10007,1708055670868590,1708055670869388,798
10008,1708055670887494,1708055670888312,818
10009,1708055670906426,1708055670907256,830
10010,1708055670925380,1708055670926235,855
10011,1708055670944349,1708055670945207,858
10012,1708055670963325,1708055670964189,864
10013,1708055670982310,1708055670983166,856
10014,1708055671001287,1708055671002151,864
10015,1708055671020254,1708055671021113,859
10016,1708055671039220,1708055671040092,872
10017,1708055671058207,1708055671059080,873
10018,1708055671077192,1708055671078047,855
10019,1708055671096161,1708055671097019,858
10020,1708055671115124,1708055671115978,854
10021,1708055671134081,1708055671134959,878
10022,1708055671153044,1708055671153872,828
10023,1708055671171997,1708055671172889,892
10024,1708055671190898,1708055671191757,859
10025,1708055671209788,1708055671210652,864
10026,1708055671228682,1708055671229495,813
10027,1708055671247644,1708055671248424,780
10028,1708055671266607,1708055671267431,824
10029,1708055671285593,1708055671286355,762
10030,1708055671304469,1708055671305322,853
10031,1708055671323433,1708055671324304,871
10032,1708055671342411,1708055671343269,858
10033,1708055671361643,1708055671362692,1049
10034,1708055671380644,1708055671381463,819
10035,1708055671399582,1708055671400381,799
10036,1708055671418474,1708055671419330,856
10037,1708055671437439,1708055671438416,977
10038,1708055671456492,1708055671457455,963
10039,1708055671475623,1708055671476593,970
10040,1708055671494629,1708055671495628,999
10041,1708055671513613,1708055671514415,802
10042,1708055671532469,1708055671533200,731
10043,1708055671551334,1708055671552022,688
10044,1708055671570146,1708055671570760,614
10045,1708055671588940,1708055671589605,665
10046,1708055671607664,1708055671608256,592
10047,1708055671626392,1708055671627064,672
10048,1708055671645175,1708055671645839,664
10049,1708055671664200,1708055671665408,1208
10050,1708055671683438,1708055671684839,1401
10051,1708055671702725,1708055671703893,1168
10052,1708055671721843,1708055671723011,1168
10053,1708055671741052,1708055671742234,1182
10054,1708055671760289,1708055671761721,1432
10055,1708055671779694,1708055671780884,1190
10056,1708055671798822,1708055671800008,1186
10057,1708055671818037,1708055671819200,1163
10058,1708055671837237,1708055671838620,1383
10059,1708055671856495,1708055671857777,1282
10060,1708055671875716,1708055671876901,1185
10061,1708055671894896,1708055671896083,1187
10062,1708055671914155,1708055671915292,1137
10063,1708055671933332,1708055671934498,1166
10064,1708055671952625,1708055671953794,1169
10065,1708055671971728,1708055671972890,1162
10066,1708055671990841,1708055671992001,1160
10067,1708055672010110,1708055672011274,1164
10068,1708055672029325,1708055672030618,1293
10069,1708055672048650,1708055672049815,1165
10070,1708055672067764,1708055672068946,1182
10071,1708055672086885,1708055672088082,1197
10072,1708055672107032,1708055672108273,1241
10073,1708055672126342,1708055672127763,1421
10074,1708055672145700,1708055672146886,1186
10075,1708055672164880,1708055672165963,1083
10076,1708055672184044,1708055672185213,1169
10077,1708055672203253,1708055672204419,1166
10078,1708055672222462,1708055672223735,1273
10079,1708055672241724,1708055672242901,1177
10080,1708055672260825,1708055672262008,1183
10081,1708055672280040,1708055672281213,1173
10082,1708055672299254,1708055672300396,1142
10083,1708055672318436,1708055672319713,1277
10084,1708055672337724,1708055672338900,1176
10085,1708055672356897,1708055672358065,1168
10086,1708055672376148,1708055672377285,1137
10087,1708055672395323,1708055672396463,1140
10088,1708055672414505,1708055672415787,1282
10089,1708055672433717,1708055672434892,1175
10090,1708055672452827,1708055672454001,1174
10091,1708055672472104,1708055672473288,1184
