frame number,publisher_sent,subscriber_received,latency
2019,1706567324258,1706567324259,1
2020,1706567324292,1706567324292,0
2021,1706567324325,1706567324326,1
2022,1706567324359,1706567324360,1
2023,1706567324393,1706567324394,1
2024,1706567324427,1706567324427,0
2025,1706567324461,1706567324461,0
2026,1706567324494,1706567324495,1
2027,1706567324528,1706567324529,1
2028,1706567324562,1706567324562,0
2029,1706567324596,1706567324596,0
2030,1706567324629,1706567324630,1
2031,1706567324663,1706567324664,1
2032,1706567324697,1706567324698,1
2033,1706567324731,1706567324731,0
2034,1706567324764,1706567324765,1
2035,1706567324798,1706567324799,1
2036,1706567324832,1706567324833,1
2037,1706567324866,1706567324866,0
2038,1706567324899,1706567324900,1
2039,1706567324933,1706567324934,1
2040,1706567324967,1706567324968,1
2041,1706567325001,1706567325002,1
2042,1706567325035,1706567325035,0
2043,1706567325068,1706567325069,1
2044,1706567325102,1706567325103,1
2045,1706567325136,1706567325137,1
2046,1706567325170,1706567325171,1
2047,1706567325203,1706567325204,1
2048,1706567325237,1706567325238,1
2049,1706567325271,1706567325271,0
2050,1706567325305,1706567325305,0
2051,1706567325338,1706567325339,1
2052,1706567325372,1706567325373,1
2053,1706567325406,1706567325407,1
2054,1706567325440,1706567325441,1
2055,1706567325473,1706567325474,1
2056,1706567325507,1706567325508,1
2057,1706567325541,1706567325542,1
2058,1706567325575,1706567325575,0
2059,1706567325608,1706567325609,1
2060,1706567325642,1706567325643,1
2061,1706567325676,1706567325677,1
2062,1706567325710,1706567325711,1
2063,1706567325744,1706567325744,0
2064,1706567325777,1706567325778,1
2065,1706567325811,1706567325812,1
2066,1706567325845,1706567325846,1
2067,1706567325879,1706567325879,0
2068,1706567325912,1706567325913,1
2069,1706567325946,1706567325947,1
2070,1706567325980,1706567325982,2
2071,1706567326015,1706567326015,0
2072,1706567326048,1706567326049,1
2073,1706567326082,1706567326083,1
2074,1706567326116,1706567326117,1
2075,1706567326150,1706567326150,0
2076,1706567326183,1706567326184,1
2077,1706567326217,1706567326218,1
2078,1706567326251,1706567326252,1
2079,1706567326285,1706567326285,0
2080,1706567326318,1706567326319,1
2081,1706567326352,1706567326353,1
2082,1706567326386,1706567326387,1
2083,1706567326420,1706567326420,0
2084,1706567326453,1706567326454,1
2085,1706567326487,1706567326488,1
2086,1706567326521,1706567326522,1
2087,1706567326555,1706567326556,1
2088,1706567326588,1706567326589,1
2089,1706567326622,1706567326623,1
2090,1706567326656,1706567326657,1
2091,1706567326690,1706567326690,0
2092,1706567326723,1706567326724,1
2093,1706567326757,1706567326758,1
2094,1706567326791,1706567326792,1
2095,1706567326825,1706567326825,0
2096,1706567326858,1706567326859,1
2097,1706567326892,1706567326893,1
2098,1706567326926,1706567326927,1
2099,1706567326960,1706567326960,0
2100,1706567326993,1706567326994,1
2101,1706567327027,1706567327028,1
2102,1706567327061,1706567327062,1
2103,1706567327095,1706567327095,0
2104,1706567327128,1706567327129,1
2105,1706567327162,1706567327163,1
2106,1706567327196,1706567327196,0
2107,1706567327230,1706567327230,0
2108,1706567327263,1706567327264,1
2109,1706567327297,1706567327298,1
2110,1706567327331,1706567327332,1
2111,1706567327365,1706567327365,0
2112,1706567327398,1706567327399,1
2113,1706567327432,1706567327433,1
2114,1706567327466,1706567327467,1
2115,1706567327500,1706567327500,0
2116,1706567327533,1706567327534,1
2117,1706567327567,1706567327568,1
2118,1706567327601,1706567327602,1
2119,1706567327635,1706567327635,0
2120,1706567327668,1706567327670,2
2121,1706567327702,1706567327703,1
2122,1706567327736,1706567327737,1
2123,1706567327770,1706567327770,0
2124,1706567327804,1706567327804,0
2125,1706567327837,1706567327838,1
2126,1706567327871,1706567327872,1
2127,1706567327905,1706567327906,1
2128,1706567327939,1706567327940,1
2129,1706567327972,1706567327973,1
2130,1706567328006,1706567328007,1
2131,1706567328040,1706567328041,1
2132,1706567328074,1706567328074,0
2133,1706567328107,1706567328108,1
2134,1706567328141,1706567328142,1
2135,1706567328175,1706567328176,1
2136,1706567328209,1706567328209,0
2137,1706567328242,1706567328243,1
2138,1706567328276,1706567328277,1
2139,1706567328310,1706567328311,1
2140,1706567328344,1706567328345,1
2141,1706567328377,1706567328378,1
2142,1706567328411,1706567328412,1
2143,1706567328445,1706567328446,1
2144,1706567328479,1706567328479,0
2145,1706567328513,1706567328514,1
2146,1706567328546,1706567328547,1
2147,1706567328580,1706567328581,1
2148,1706567328614,1706567328615,1
2149,1706567328648,1706567328649,1
2150,1706567328682,1706567328683,1
2151,1706567328716,1706567328716,0
2152,1706567328749,1706567328750,1
2153,1706567328783,1706567328784,1
2154,1706567328817,1706567328817,0
2155,1706567328850,1706567328851,1
2156,1706567328884,1706567328885,1
2157,1706567328918,1706567328919,1
2158,1706567328952,1706567328952,0
2159,1706567328986,1706567328986,0
2160,1706567329019,1706567329020,1
2161,1706567329053,1706567329054,1
2162,1706567329087,1706567329088,1
2163,1706567329121,1706567329122,1
2164,1706567329154,1706567329155,1
2165,1706567329188,1706567329189,1
2166,1706567329222,1706567329223,1
2167,1706567329256,1706567329256,0
2168,1706567329289,1706567329290,1
2169,1706567329323,1706567329324,1
