frame number,publisher_sent,subscriber_received,latency
38002,1708053724456834,1708053724458031,1197
38003,1708053724463654,1708053724464601,947
38004,1708053724470218,1708053724471191,973
38005,1708053724476802,1708053724477746,944
38006,1708053724483355,1708053724484306,951
38007,1708053724489949,1708053724490904,955
38008,1708053724496585,1708053724497473,888
38009,1708053724503133,1708053724504086,953
38010,1708053724509704,1708053724510683,979
38011,1708053724516351,1708053724517301,950
38012,1708053724522941,1708053724523939,998
38013,1708053724529610,1708053724530491,881
38014,1708053724536137,1708053724537080,943
38015,1708053724542695,1708053724543671,976
38016,1708053724549287,1708053724550282,995
38017,1708053724555945,1708053724556923,978
38018,1708053724562592,1708053724563473,881
38019,1708053724569144,1708053724570084,940
38020,1708053724575685,1708053724576626,941
38021,1708053724582222,1708053724583123,901
38022,1708053724588714,1708053724589632,918
38023,1708053724595224,1708053724596156,932
38024,1708053724601768,1708053724602726,958
38025,1708053724608338,1708053724609279,941
38026,1708053724614929,1708053724615883,954
38027,1708053724621497,1708053724622434,937
38028,1708053724628082,1708053724629032,950
38029,1708053724634649,1708053724635624,975
38030,1708053724641221,1708053724642149,928
38031,1708053724647754,1708053724648733,979
38032,1708053724654341,1708053724655256,915
38033,1708053724660895,1708053724661852,957
38034,1708053724667467,1708053724668403,936
38035,1708053724674070,1708053724675013,943
38036,1708053724680673,1708053724681613,940
38037,1708053724687219,1708053724688166,947
38038,1708053724693779,1708053724694753,974
38039,1708053724700367,1708053724701318,951
38040,1708053724706969,1708053724707917,948
38041,1708053724713578,1708053724714428,850
38042,1708053724720060,1708053724720986,926
38043,1708053724726622,1708053724727467,845
38044,1708053724733119,1708053724734087,968
38045,1708053724739712,1708053724740680,968
38046,1708053724746296,1708053724747242,946
38047,1708053724752878,1708053724753790,912
38048,1708053724759399,1708053724760337,938
38049,1708053724765995,1708053724766978,983
38050,1708053724772643,1708053724773591,948
38051,1708053724779204,1708053724780164,960
38052,1708053724785777,1708053724786744,967
38053,1708053724792364,1708053724793324,960
38054,1708053724798974,1708053724799920,946
38055,1708053724805592,1708053724806481,889
38056,1708053724812142,1708053724813107,965
38057,1708053724818726,1708053724819695,969
38058,1708053724825309,1708053724826260,951
38059,1708053724831911,1708053724832863,952
38060,1708053724838479,1708053724839435,956
38061,1708053724845084,1708053724846001,917
38062,1708053724851637,1708053724852453,816
38063,1708053724858083,1708053724858976,893
38064,1708053724864621,1708053724865469,848
38065,1708053724871123,1708053724872059,936
38066,1708053724877675,1708053724878655,980
38067,1708053724884277,1708053724885229,952
38068,1708053724890843,1708053724891801,958
38069,1708053724897420,1708053724898361,941
38070,1708053724904054,1708053724905002,948
38071,1708053724910666,1708053724911603,937
38072,1708053724917209,1708053724918158,949
38073,1708053724923773,1708053724924731,958
38074,1708053724930347,1708053724931284,937
38075,1708053724936937,1708053724937898,961
38076,1708053724943566,1708053724944462,896
38077,1708053724950105,1708053724951089,984
38078,1708053724956717,1708053724957656,939
38079,1708053724963266,1708053724964217,951
38080,1708053724969831,1708053724970803,972
38081,1708053724976408,1708053724977341,933
38082,1708053724982977,1708053724983895,918
38083,1708053724989484,1708053724990391,907
38084,1708053724996026,1708053724996956,930
38085,1708053725002608,1708053725003505,897
38086,1708053725009158,1708053725010110,952
38087,1708053725015723,1708053725016686,963
38088,1708053725022295,1708053725023242,947
38089,1708053725028887,1708053725029849,962
38090,1708053725035470,1708053725036421,951
38091,1708053725042073,1708053725043031,958
38092,1708053725048656,1708053725049634,978
38093,1708053725055250,1708053725056201,951
38094,1708053725061920,1708053725062876,956
38095,1708053725068495,1708053725069449,954
38096,1708053725075102,1708053725076144,1042
38097,1708053725081765,1708053725082719,954
38098,1708053725088326,1708053725089292,966
38099,1708053725094929,1708053725095893,964
38100,1708053725101566,1708053725102459,893
38101,1708053725108104,1708053725109308,1204
38102,1708053725114947,1708053725116009,1062
38103,1708053725121586,1708053725122996,1410
38104,1708053725127483,1708053725128417,934
38105,1708053725134062,1708053725134990,928
38106,1708053725140634,1708053725141623,989
38107,1708053725147236,1708053725148204,968
38108,1708053725153819,1708053725154779,960
38109,1708053725160397,1708053725161373,976
38110,1708053725167032,1708053725168013,981
38111,1708053725173674,1708053725174639,965
38112,1708053725180256,1708053725181228,972
38113,1708053725186843,1708053725187829,986
38114,1708053725193453,1708053725194425,972
38115,1708053725200079,1708053725201054,975
38116,1708053725206680,1708053725207679,999
38117,1708053725213298,1708053725214277,979
38118,1708053725219930,1708053725220916,986
38119,1708053725226605,1708053725227562,957
38120,1708053725233180,1708053725234149,969
38121,1708053725239759,1708053725240728,969
38122,1708053725246351,1708053725247307,956
38123,1708053725252953,1708053725253933,980
38124,1708053725259595,1708053725260470,875
38125,1708053725266105,1708053725267035,930
38126,1708053725272670,1708053725273619,949
38127,1708053725279229,1708053725280203,974
38128,1708053725285813,1708053725286777,964
38129,1708053725292398,1708053725293385,987
38130,1708053725299044,1708053725300025,981
38131,1708053725305651,1708053725306648,997
38132,1708053725312268,1708053725313244,976
38133,1708053725318896,1708053725319885,989
38134,1708053725325507,1708053725326483,976
38135,1708053725332141,1708053725333123,982
38136,1708053725338746,1708053725339745,999
38137,1708053725345360,1708053725346353,993
38138,1708053725352007,1708053725353002,995
38139,1708053725358667,1708053725359989,1322
38140,1708053725365654,1708053725366609,955
38141,1708053725372220,1708053725373191,971
38142,1708053725378807,1708053725379774,967
38143,1708053725385390,1708053725386346,956
38144,1708053725391987,1708053725392924,937
38145,1708053725398589,1708053725399455,866
38146,1708053725405087,1708053725406053,966
38147,1708053725411663,1708053725412669,1006
38148,1708053725418287,1708053725419266,979
38149,1708053725424916,1708053725425908,992
38150,1708053725431596,1708053725432507,911
38151,1708053725438170,1708053725439140,970
38152,1708053725444757,1708053725445747,990
38153,1708053725451371,1708053725452362,991
38154,1708053725458016,1708053725458983,967
38155,1708053725464654,1708053725465581,927
38156,1708053725471190,1708053725472139,949
38157,1708053725477753,1708053725478725,972
38158,1708053725484338,1708053725485278,940
38159,1708053725490927,1708053725492155,1228
38160,1708053725497770,1708053725498739,969
38161,1708053725504348,1708053725505309,961
38162,1708053725510955,1708053725511921,966
38163,1708053725517594,1708053725518472,878
38164,1708053725524117,1708053725525018,901
38165,1708053725530660,1708053725531506,846
38166,1708053725537149,1708053725538049,900
38167,1708053725543657,1708053725544639,982
38168,1708053725550258,1708053725551215,957
38169,1708053725556832,1708053725557797,965
38170,1708053725563407,1708053725564365,958
38171,1708053725570026,1708053725571016,990
38172,1708053725576679,1708053725577624,945
38173,1708053725583238,1708053725584207,969
38174,1708053725589826,1708053725590763,937
38175,1708053725596372,1708053725597322,950
38176,1708053725602967,1708053725603927,960
38177,1708053725609607,1708053725610502,895
38178,1708053725616147,1708053725617097,950
38179,1708053725622714,1708053725623682,968
38180,1708053725629293,1708053725630245,952
38181,1708053725635898,1708053725636858,960
38182,1708053725642476,1708053725643425,949
38183,1708053725649078,1708053725650039,961
38184,1708053725655658,1708053725656609,951
38185,1708053725662214,1708053725663128,914
38186,1708053725668724,1708053725669650,926
38187,1708053725675302,1708053725676197,895
38188,1708053725681791,1708053725682733,942
38189,1708053725688343,1708053725689289,946
38190,1708053725694938,1708053725695895,957
38191,1708053725701507,1708053725702441,934
38192,1708053725708094,1708053725709048,954
38193,1708053725714663,1708053725715644,981
