frame number,publisher_sent,subscriber_received,latency
2007,1708302317905921,1708302318060570,154649
2008,1708302318125629,1708302318290024,164395
2009,1708302318358057,1708302318497386,139329
2010,1708302318567777,1708302318704321,136544
2011,1708302318773200,1708302318960536,187336
2012,1708302319026591,1708302319215532,188941
2013,1708302319294177,1708302319483163,188986
2014,1708302319537958,1708302319711973,174015
2015,1708302319760617,1708302319893340,132723
2016,1708302319959704,1708302320104154,144450
2017,1708302320169175,1708302320298422,129247
2018,1708302320364218,1708302320493561,129343
2019,1708302320560039,1708302320737312,177273
2020,1708302320803917,1708302321003601,199684
2021,1708302321067142,1708302321317294,250152
2022,1708302321387920,1708302321644056,256136
2023,1708302321710658,1708302321862382,151724
2024,1708302321931771,1708302322064268,132497
2025,1708302322133023,1708302322275049,142026
2026,1708302322343177,1708302322485685,142508
2027,1708302322539022,1708302322719482,180460
2028,1708302322777197,1708302323046675,269478
2029,1708302323113624,1708302323259450,145826
2030,1708302323325745,1708302323458613,132868
2031,1708302323530230,1708302323673333,143103
2032,1708302323739625,1708302323885381,145756
2033,1708302323951676,1708302324073390,121714
2034,1708302324142525,1708302324266824,124299
2035,1708302324348401,1708302324555366,206965
2036,1708302324593795,1708302324762213,168418
2037,1708302324824867,1708302325052411,227544
2038,1708302325111833,1708302325341516,229683
2039,1708302325383508,1708302325533587,150079
2040,1708302325593038,1708302325728241,135203
2041,1708302325794425,1708302325937965,143540
2042,1708302326004251,1708302326157151,152900
2043,1708302326224244,1708302326381874,157630
2044,1708302326448828,1708302326593264,144436
2045,1708302326658907,1708302326807303,148396
2046,1708302326875068,1708302327032512,157444
2047,1708302327098479,1708302327224587,126108
2048,1708302327294002,1708302327497716,203714
2049,1708302327556641,1708302327708414,151773
2050,1708302327777047,1708302327925356,148309
2051,1708302327994219,1708302328121472,127253
2052,1708302328186938,1708302328337885,150947
2053,1708302328403913,1708302328556317,152404
2054,1708302328626195,1708302328754786,128591
2055,1708302328819461,1708302328967726,148265
2056,1708302329028786,1708302329163530,134744
2057,1708302329232814,1708302329421510,188696
2058,1708302329486883,1708302329619581,132698
2059,1708302329684552,1708302329850626,166074
2060,1708302329915198,1708302330080048,164850
2061,1708302330143257,1708302330305063,161806
2062,1708302330367336,1708302330565276,197940
2063,1708302330634104,1708302330850853,216749
2064,1708302330903502,1708302331033603,130101
2065,1708302331102178,1708302331317434,215256
2066,1708302331387866,1708302331511633,123767
2067,1708302331580330,1708302331827236,246906
2068,1708302331902721,1708302332153565,250844
2069,1708302332210730,1708302332421843,211113
2070,1708302332491655,1708302332691311,199656
2071,1708302332762989,1708302332950741,187752
2072,1708302333016628,1708302333144542,127914
2073,1708302333208868,1708302333358508,149640
2074,1708302333420550,1708302333566849,146299
2075,1708302333630744,1708302333772990,142246
2076,1708302333836464,1708302333979877,143413
2077,1708302334048484,1708302334185299,136815
2078,1708302334255437,1708302334392589,137152
2079,1708302334458971,1708302334602496,143525
2080,1708302334667318,1708302334830143,162825
2081,1708302334896635,1708302335042315,145680
2082,1708302335111986,1708302335256644,144658
2083,1708302335325616,1708302335479225,153609
2084,1708302335548020,1708302335692246,144226
2085,1708302335757756,1708302335902490,144734
2086,1708302335969306,1708302336149914,180608
2087,1708302336212953,1708302336366779,153826
2088,1708302336436301,1708302336581687,145386
2089,1708302336646987,1708302336777591,130604
2090,1708302336845961,1708302336977929,131968
2091,1708302337046954,1708302337210621,163667
2092,1708302337274981,1708302337400298,125317
2093,1708302337466109,1708302337594962,128853
2094,1708302337660938,1708302337826327,165389
2095,1708302337892834,1708302338062017,169183
2096,1708302338142786,1708302338326333,183547
2097,1708302338393275,1708302338514688,121413
2098,1708302338592036,1708302338734678,142642
2099,1708302338799398,1708302338944064,144666
2100,1708302339009382,1708302339160966,151584
2101,1708302339227723,1708302339371871,144148
2102,1708302339439529,1708302339577804,138275
2103,1708302339641936,1708302339788820,146884
2104,1708302339856409,1708302339988746,132337
2105,1708302340057527,1708302340214772,157245
2106,1708302340283168,1708302340419520,136352
2107,1708302340486554,1708302340627629,141075
2108,1708302340694634,1708302340981915,287281
2109,1708302341028977,1708302341194756,165779
2110,1708302341258922,1708302341467629,208707
2111,1708302341535349,1708302341663900,128551
2112,1708302341732824,1708302341880378,147554
2113,1708302341949954,1708302342184409,234455
2114,1708302342248527,1708302342387148,138621
2115,1708302342454692,1708302342586377,131685
2116,1708302342663181,1708302342914213,251032
2117,1708302342954682,1708302343098503,143821
2118,1708302343166678,1708302343310326,143648
2119,1708302343377250,1708302343501172,123922
2120,1708302343568567,1708302343708814,140247
2121,1708302343774914,1708302343912997,138083
2122,1708302343978652,1708302344132889,154237
2123,1708302344199246,1708302344328714,129468
2124,1708302344399317,1708302344542571,143254
2125,1708302344611451,1708302344821886,210435
2126,1708302344893129,1708302345027457,134328
2127,1708302345100056,1708302345236161,136105
2128,1708302345303292,1708302345441806,138514
2129,1708302345505820,1708302345629494,123674
2130,1708302345695577,1708302345846287,150710
2131,1708302345912951,1708302346041419,128468
2132,1708302346107012,1708302346234532,127520
2133,1708302346306921,1708302346464231,157310
2134,1708302346531362,1708302346676420,145058
2135,1708302346744720,1708302346983584,238864
2136,1708302347055472,1708302347210628,155156
2137,1708302347279694,1708302347442114,162420
2138,1708302347512175,1708302347648019,135844
2139,1708302347716702,1708302347853728,137026
2140,1708302347921366,1708302348058233,136867
2141,1708302348125564,1708302348258753,133189
2142,1708302348325526,1708302348457311,131785
2143,1708302348525309,1708302348674731,149422
2144,1708302348738975,1708302348891364,152389
2145,1708302348956028,1708302349106565,150537
2146,1708302349171036,1708302349306221,135185
2147,1708302349372366,1708302349523798,151432
2148,1708302349593481,1708302349742376,148895
2149,1708302349811440,1708302349962004,150564
2150,1708302350027830,1708302350180418,152588
2151,1708302350244810,1708302350459315,214505
2152,1708302350534209,1708302350765760,231551
2153,1708302350833453,1708302351042290,208837
2154,1708302351087289,1708302351212493,125204
2155,1708302351282217,1708302351406616,124399
2156,1708302351477947,1708302351633131,155184
2157,1708302351687942,1708302351831571,143629
2158,1708302351898551,1708302352022220,123669
2159,1708302352091128,1708302352213731,122603
2160,1708302352279407,1708302352410763,131356
2161,1708302352481554,1708302352621924,140370
2162,1708302352703269,1708302352848668,145399
2163,1708302352938285,1708302353063463,125178
2164,1708302353129985,1708302353255519,125534
2165,1708302353331799,1708302353523599,191800
2166,1708302353578154,1708302353741355,163201
2167,1708302353800350,1708302353986708,186358
2168,1708302354060997,1708302354219990,158993
2169,1708302354290030,1708302354444428,154398
2170,1708302354513356,1708302354663913,150557
2171,1708302354741823,1708302354898936,157113
2172,1708302354968037,1708302355096688,128651
2173,1708302355164429,1708302355291809,127380
2174,1708302355363698,1708302355497237,133539
2175,1708302355565802,1708302355700350,134548
2176,1708302355765735,1708302355927180,161445
2177,1708302355985629,1708302356140158,154529
2178,1708302356209182,1708302356340411,131229
2179,1708302356400760,1708302356546198,145438
2180,1708302356611866,1708302356750196,138330
2181,1708302356817057,1708302356963187,146130
2182,1708302357029267,1708302357176292,147025
2183,1708302357225465,1708302357359170,133705
2184,1708302357427576,1708302357562655,135079
2185,1708302357629950,1708302357751221,121271
2186,1708302357819694,1708302357943800,124106
2187,1708302358008896,1708302358130222,121326
2188,1708302358201276,1708302358336902,135626
2189,1708302358408763,1708302358606646,197883
2190,1708302358676531,1708302358835111,158580
2191,1708302358903307,1708302359034693,131386
2192,1708302359107683,1708302359252746,145063
2193,1708302359320586,1708302359448766,128180
2194,1708302359516319,1708302359662230,145911
2195,1708302359727478,1708302359969448,241970
2196,1708302360036665,1708302360212007,175342
2197,1708302360265971,1708302360397689,131718
2198,1708302360465392,1708302360612493,147101
2199,1708302360681361,1708302360803935,122574
2200,1708302360872901,1708302361010041,137140
2201,1708302361076931,1708302361352145,275214
2202,1708302361421711,1708302361552041,130330
2203,1708302361619444,1708302361771888,152444
2204,1708302361842162,1708302361993986,151824
2205,1708302362063450,1708302362264614,201164
2206,1708302362335061,1708302362465005,129944
2207,1708302362531479,1708302362688794,157315
2208,1708302362755878,1708302362879497,123619
2209,1708302362947229,1708302363095979,148750
2210,1708302363161135,1708302363305065,143930
2211,1708302363376827,1708302363527164,150337
2212,1708302363593669,1708302363737752,144083
2213,1708302363807509,1708302363959708,152199
2214,1708302364027484,1708302364175601,148117
2215,1708302364245627,1708302364389128,143501
2216,1708302364454995,1708302364603941,148946
2217,1708302364670713,1708302364815271,144558
2218,1708302364882697,1708302365026907,144210
2219,1708302365094105,1708302365264893,170788
2220,1708302365335985,1708302365568516,232531
2221,1708302365641056,1708302365797927,156871
2222,1708302365864204,1708302366056386,192182
2223,1708302366103731,1708302366343165,239434
2224,1708302366395284,1708302366555506,160222
2225,1708302366620716,1708302366748484,127768
2226,1708302366817237,1708302366958573,141336
2227,1708302367027652,1708302367169410,141758
2228,1708302367235719,1708302367380926,145207
2229,1708302367448814,1708302367593201,144387
2230,1708302367660477,1708302367820026,159549
2231,1708302367886118,1708302368012109,125991
2232,1708302368080739,1708302368215624,134885
2233,1708302368284688,1708302368409548,124860
2234,1708302368478824,1708302368621160,142336
2235,1708302368691028,1708302368835275,144247
2236,1708302368901188,1708302369044644,143456
2237,1708302369119279,1708302369343908,224629
2238,1708302369413155,1708302369561515,148360
2239,1708302369630169,1708302369777564,147395
2240,1708302369844779,1708302369993066,148287
2241,1708302370057968,1708302370207506,149538
2242,1708302370272673,1708302370419165,146492
2243,1708302370487548,1708302370639769,152221
2244,1708302370708326,1708302370856612,148286
2245,1708302370924150,1708302371103171,179021
2246,1708302371158151,1708302371338065,179914
2247,1708302371409174,1708302371543033,133859
2248,1708302371611056,1708302371739297,128241
2249,1708302371808039,1708302371936159,128120
2250,1708302372008620,1708302372282631,274011
2251,1708302372357607,1708302372491350,133743
2252,1708302372562023,1708302372712694,150671
2253,1708302372781341,1708302372928779,147438
2254,1708302372981103,1708302373204429,223326
2255,1708302373248817,1708302373379368,130551
2256,1708302373449356,1708302373657789,208433
2257,1708302373723995,1708302373852168,128173
2258,1708302373923317,1708302374063582,140265
2259,1708302374134698,1708302374277666,142968
2260,1708302374349230,1708302374495197,145967
2261,1708302374565334,1708302374709454,144120
2262,1708302374774243,1708302374933472,159229
2263,1708302375000781,1708302375127201,126420
2264,1708302375195165,1708302375364016,168851
2265,1708302375417686,1708302375559675,141989
2266,1708302375627732,1708302375802589,174857
2267,1708302375872166,1708302376016015,143849
2268,1708302376082719,1708302376222743,140024
2269,1708302376290131,1708302376477533,187402
2270,1708302376545664,1708302376767025,221361
2271,1708302376855464,1708302377092492,237028
2272,1708302377147829,1708302377272816,124987
2273,1708302377337704,1708302377508428,170724
2274,1708302377573856,1708302377725812,151956
2275,1708302377792855,1708302377939950,147095
2276,1708302378005985,1708302378158557,152572
2277,1708302378226151,1708302378376158,150007
2278,1708302378444479,1708302378569490,125011
2279,1708302378637986,1708302378796155,158169
2280,1708302378871335,1708302379078471,207136
2281,1708302379149179,1708302379312440,163261
2282,1708302379386448,1708302379543253,156805
2283,1708302379596416,1708302379751026,154610
2284,1708302379803033,1708302379951166,148133
2285,1708302380019718,1708302380140908,121190
2286,1708302380209216,1708302380331741,122525
2287,1708302380401356,1708302380538306,136950
2288,1708302380602913,1708302380750697,147784
2289,1708302380815372,1708302380972465,157093
2290,1708302381034809,1708302381169589,134780
2291,1708302381234474,1708302381365175,130701
2292,1708302381433784,1708302381576197,142413
2293,1708302381631759,1708302381787250,155491
2294,1708302381852475,1708302381986862,134387
